,index,serviceCentre,dummy,overall rating,dummy1,geo_location,Unnamed: 5,Unnamed: 6,user,Unnamed: 8,date,rating,review,Unnamed: 12,response,review_original,Key Topics,Sentiment,Product Quality,Staff,Service Time,Music System,Recall,Brake,Oil Change/Refill,Wheel/Tires,Service Cost,Service Diagnostics,Facilities,Windshield,Door,Battery,Engine,Product Availability,Not Classified,Customer Service,Service Quality
10,10,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Agnes Mieczkowska,https://www.google.com/maps/contrib/101067416310758166398/reviews?hl=en,5 months ago,1 star,The worst costumer service. Person who answers the phone do not know how to talk to people. They kept my my car for very long time. Because they are private owned they think that they can do what they want. Horrible experience.,1.0,"Agnes, we are sorry to see you had a negative experience at our service center. Please know customer safety and satisfaction are our #1 priority. Please call at your earliest convenience so we get this sorted out. -Yvonne Brown, Customer Relations Manager, (718) 657-8888",The worst costumer service. Person who answers the phone do not know how to talk to people. They kept my my car for very long time. Because they are private owned they think that they can do what they want. Horrible experience.,"Product Quality, Service Cost, Staff, Service Time",Negative,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,11,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Einstein Amah,https://www.google.com/maps/contrib/116420991851060789559/reviews?hl=en,7 months ago,5 stars,Top service. These guys are very professional and even go as far as giving you a nice free car wash before you leave their place. Thumbs up 👍🏾 …,,"When customers are happy, we're happy. Thanks for letting us know of your positive experience at Ford of Queens!",Top service. These guys are very professional and even go as far as giving you a nice free car wash before you leave their place. Thumbs up 👍🏾 …,"Product Quality, Service Time, Staff, Facilities",Positive,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,12,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Jonathan Cung,https://www.google.com/maps/contrib/114101821025756345097/reviews?hl=en,a year ago,1 star,"Just horrible. I had a scheduled 10 am appointment for a simple oil change. Arrived at 9:50 am to a long line of vehicles that were queued to get into the service garage. Waited for a total of 45 minutes to only make it halfway into the parking lot. There were no employees or customer service representatives present to come out and explain why there was such a delay. I left the parking lot at 11 am after waiting for over an hour to get my vehicle registered...they need to do a better job here, especially for customers who have made appointments. Very disappointing and unprofessional.",1.0,"Jonathan, we are very sorry to see your negative review. We apologize for any confusion or miscommunication during your recent visit. We would like the chance to speak with you to work towards a resolution. At your earliest convenience, please reach out to me directly. I look forward to speaking with you. -Yvonne Brown, Customer Relations Manager, (718)657-8888","Just horrible. I had a scheduled 10 am appointment for a simple oil change. Arrived at 9:50 am to a long line of vehicles that were queued to get into the service garage. Waited for a total of 45 minutes to only make it halfway into the parking lot. There were no employees or customer service representatives present to come out and explain why there was such a delay. I left the parking lot at 11 am after waiting for over an hour to get my vehicle registered...they need to do a better job here, especially for customers who have made appointments. Very disappointing and unprofessional.","Product Quality, Staff, Service Time, Facilities",Negative,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,13,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Erik Sperling Johansen,https://www.google.com/maps/contrib/109400298886286766572/reviews?hl=en,a year ago,1 star,"Extremely slow service. Had an appointment  at a set time for a 15 minute check, waited 90 minutes for the mechanic then an additional 30 minutes before I could get my key. Needed a part, was told it'd be there in 3 days, and that they would call me. Two weeks later still no calls, and when contacted they flat out refused to look up if the part has arrived because the service advisor from the first visit wasn't in. Needless to say, I'm switching to another service center hoping to find one that operates more rationally.",6.0,"Erik, we are sorry to see your negative review. Please know our goal is to provide great customer service and we take reviews like this very seriously. I would like the chance to speak with you to restore your faith in our service center. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718)657-8888","Extremely slow service. Had an appointment  at a set time for a 15 minute check, waited 90 minutes for the mechanic then an additional 30 minutes before I could get my key. Needed a part, was told it'd be there in 3 days, and that they would call me. Two weeks later still no calls, and when contacted they flat out refused to look up if the part has arrived because the service advisor from the first visit wasn't in. Needless to say, I'm switching to another service center hoping to find one that operates more rationally.","Product Quality, Service Time, Staff, Facilities",Negative,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,14,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,SINDER PAL,https://www.google.com/maps/contrib/117088914875938255049/reviews?hl=en,a year ago,1 star,If I had 0 rating I give to this location. Nobody take care. ridiculous location I had 9.30am appointment but still waiting waiting waiting waiting. I recommend Only Lincoln customer plz if you guys going to Empire ford Lincoln at Huntington it’s nice staff & they very quickly take care of customers always . So I recommend to Lincoln customer go at Huntington & see feel relax .,2.0,"Sinder, we are sorry to see your negative review. We apologize if you have received anything but our 5-star customer service. We would like to speak with you and hear more specifically about your experience with us. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718)657-8888",If I had 0 rating I give to this location. Nobody take care. ridiculous location I had 9.30am appointment but still waiting waiting waiting waiting. I recommend Only Lincoln customer plz if you guys going to Empire ford Lincoln at Huntington it’s nice staff & they very quickly take care of customers always . So I recommend to Lincoln customer go at Huntington & see feel relax .,"Product Quality, Staff, Service Cost, Facilities, Music System (implied), Brake (implied), Not Classified",Positive,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
15,15,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Luis Merino,https://www.google.com/maps/contrib/118068311392041412241/reviews?hl=en,4 months ago,1 star,"fordlinconl Of Queens has always been my favorite to buy my cars I have bought several cars and always used their repair shop but these days I wanted to pick up one of my trucks and one of the mechanics treated me very badly until today I spent $11,000 on repair of my last van and I have 3 more orders, two Transit 350 xlt and a 2024 Navigator which I am going to cancel, it is incredible that I spoke with the Shop manager and he did not listen to me so I have decided not to buy more at this agency The only two people who have treated me spectacularly are Jose Ocasio in the sales area and Ivonne from the repair shop.……. goodbye Ford of Queens",1.0,"Luis, We appreciate you taking the time to share your experience, and we're truly sorry to hear about the negative encounter you had with our service center. Your satisfaction is our top priority, and we want to address this matter promptly.  We apologize for any inconvenience caused during your recent visit, and we assure you that this does not reflect the level of service we strive to provide. Your loyalty means a great deal to us, and we'd like the opportunity to make things right.  To discuss the specifics of your recent experience and better understand your concerns, we encourage you to call Yvonne at (718) 657-8888. Our team is committed to resolving any issues and ensuring your future experiences with Ford Lincoln of Queens meet and exceed your expectations.  We appreciate your continued trust in our dealership, and we look forward to the opportunity to regain your confidence.","fordlinconl Of Queens has always been my favorite to buy my cars I have bought several cars and always used their repair shop but these days I wanted to pick up one of my trucks and one of the mechanics treated me very badly until today I spent $11,000 on repair of my last van and I have 3 more orders, two Transit 350 xlt and a 2024 Navigator which I am going to cancel, it is incredible that I spoke with the Shop manager and he did not listen to me so I have decided not to buy more at this agency The only two people who have treated me spectacularly are Jose Ocasio in the sales area and Ivonne from the repair shop.……. goodbye Ford of Queens","Product Quality, Staff, Service Cost, Facilities",Negative,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16,16,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,CHANG gyu Kim,https://www.google.com/maps/contrib/117840758671610973495/reviews?hl=en,a week ago,1 star,Indefinite and unfriendly attitude and first class for service,,"Chang, we apologize if you have received anything but our 5-star customer service. We would like to speak with you and hear more specifically about your experience with us. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718) 657-8888",Indefinite and unfriendly attitude and first class for service,"Product Quality, Service Cost",Positive,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,17,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Jesus Moreno,https://www.google.com/maps/contrib/105586979085898206322/reviews?hl=en,a year ago,5 stars,"Debbie is one of the women I dealt with . She was very professional and she does her job well. I came in for an engine light, oil change and my passenger window wasn’t working. the  mechanics checked other things as well. Overall I am happy with the service. I’m definitely going back for them to service my truck. 👍👍👍👍👍 …",2.0,,"Debbie is one of the women I dealt with . She was very professional and she does her job well. I came in for an engine light, oil change and my passenger window wasn’t working. the  mechanics checked other things as well. Overall I am happy with the service. I’m definitely going back for them to service my truck. 👍👍👍👍👍 …","Product Quality, Service Time, Staff, Facilities",Positive,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,18,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Aure,https://www.google.com/maps/contrib/105181122986766201761/reviews?hl=en,a year ago,5 stars,They took a good card of my Ford Escape. I got some cables chewed by a small animal. It costed me a lot to fix it but that was a correct price. Vasha and the mechanic were very professional and friendly.,,We're glad to hear that your visit went so well. It's always great to hear from our customers and we appreciate you taking the time to give us feedback. Thank you for choosing Ford of Queens!,They took a good card of my Ford Escape. I got some cables chewed by a small animal. It costed me a lot to fix it but that was a correct price. Vasha and the mechanic were very professional and friendly.,"Product Quality, Staff, Service Cost",Positive,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,19,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Richard F,https://www.google.com/maps/contrib/105706477193824853373/reviews?hl=en,a year ago,1 star,"DO NOT LET THIS LOCATION SERVICE YOUR VEHICLE! I have owned some FORD vehicle over the past 12 years and I will never buy FORD again because of this service center. In just over three months (between July2022-Sept.2022), I received two oil changes from this location. By the following month, my low oil light came flashing on and off for about a week or so. Shortly after, in the span of one drive home from work, my car started billowing thick clouds of white smoke and became unsafe to drive. The two employees, B. and R., tried to coerce me into saying that I added oil more than the engine has capacity for. I did not agree to their intimidation tactic and asked them if they tested the liquid to see if other fluids were present(from leakage of improper sealing) to which R. said, ""I took a picture of the puddle."" I also asked, if they disassembled the engine to find the root of the problem or if the oil indicator is calibrated? In another conversation I had with a Ford employee I asked why they stopped production of the same model car (Ford EcoSport) after 2022, but they replied my car was not involved in any recall. This was the first issue I’ve had with this new vehicle in the 3 years of leasing it, it was under the 60,000 warranty mileage, and never had a problem at the previous 2 Ford service locations I’ve gone to in the past 2 & 1/2 years leading up to this nightmare experience. For the first two weeks they had my car their communication was scarce, they did not respond to me or my insurance company, they lack basic costumer service & professionalism(one employee refused to give me her name and told me I would have to get my car from the lot even after it was not fixed and I made her aware it was unsafe to drive), Oh and the gentleman that was working on my car/the diagnostics report is no longer employed there! The employee, Bryan, was ""let go"", quit, or fired by the time I took the train there to check on my car the next day. Its been 4 months without my car. Avoid the mistake I made and take your car elsewhere- Avoid the danger, stress, and poor practice of this location.",1.0,"We take feedback like this seriously, and never hesitate to go above and beyond to accommodate within our ability. This is the very reason why our service manager ""A"" opened a financial assistance request case for your repair after your admittance of you adding oil to your vehicle because the check engine light came on. It was very clear from the beginning we were beyond the possibility of a warrantable repair, yet still we tried our very best to avoid the full engine replacement cost from coming out of your pocket as a professional courtesy. Now months after both our and your requests for assistance were denied, as well as several ignored requests for you to pick up your vehicle if you decline repair. While we understand your position, we do not think this is a fair review.  -Yvonne Brown, Customer Relations Manager (718)657-8888","DO NOT LET THIS LOCATION SERVICE YOUR VEHICLE! I have owned some FORD vehicle over the past 12 years and I will never buy FORD again because of this service center. In just over three months (between July2022-Sept.2022), I received two oil changes from this location. By the following month, my low oil light came flashing on and off for about a week or so. Shortly after, in the span of one drive home from work, my car started billowing thick clouds of white smoke and became unsafe to drive. The two employees, B. and R., tried to coerce me into saying that I added oil more than the engine has capacity for. I did not agree to their intimidation tactic and asked them if they tested the liquid to see if other fluids were present(from leakage of improper sealing) to which R. said, ""I took a picture of the puddle."" I also asked, if they disassembled the engine to find the root of the problem or if the oil indicator is calibrated? In another conversation I had with a Ford employee I asked why they stopped production of the same model car (Ford EcoSport) after 2022, but they replied my car was not involved in any recall. This was the first issue I’ve had with this new vehicle in the 3 years of leasing it, it was under the 60,000 warranty mileage, and never had a problem at the previous 2 Ford service locations I’ve gone to in the past 2 & 1/2 years leading up to this nightmare experience. For the first two weeks they had my car their communication was scarce, they did not respond to me or my insurance company, they lack basic costumer service & professionalism(one employee refused to give me her name and told me I would have to get my car from the lot even after it was not fixed and I made her aware it was unsafe to drive), Oh and the gentleman that was working on my car/the diagnostics report is no longer employed there! The employee, Bryan, was ""let go"", quit, or fired by the time I took the train there to check on my car the next day. Its been 4 months without my car. Avoid the mistake I made and take your car elsewhere- Avoid the danger, stress, and poor practice of this location.","Product Quality, Staff, Service Cost, Facilities",Negative,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
